ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/031,key_18833,"8ed271dd-8091-4f04-81f7-bc795f9ac533
eb2f2265-5af3-43ae-be49-0d4027702d7d
ebf26eab-30ef-4573-a8a1-85b6b17689bb",,sciences sociales et du comportement,,,
http://data.europa.eu/esco/isced-f/0310,key_18834,"31b4147b-00cd-4138-8ff5-f4850a6eb52a
91cb64f3-8469-48a3-84fd-f442233658c8
5dc27183-47ba-40a2-9561-79be4f8c9242",,sciences sociales et du comportement non définies,,,
http://data.europa.eu/esco/isced-f/0311,key_18835,"07717dac-4b87-4770-883a-31e384956d1c
68b81d1b-24e1-4a69-83eb-b893e570447f
34bbb72f-1ee9-4c6a-bd29-7ab89f1d430e",,économie,,,
http://data.europa.eu/esco/isced-f/0312,key_18836,"9840181f-0494-4023-9afd-9a152b3c9270
d8448482-9d2a-499e-b744-ea6a1d1818de
af036211-fde7-4ec6-a884-c0c2b566a689",,sciences politiques et éducation civique,,,
http://data.europa.eu/esco/isced-f/0313,key_18837,"1ff8ab13-8948-49a7-9afa-871261dce1f3
c66ad511-40e5-46ac-9eeb-c90f771c499f
ecbfae86-f658-4a1c-972f-e1433360a168",,psychologie,,,
http://data.europa.eu/esco/isced-f/0314,key_18838,"8602b66d-77f3-460b-bdbd-05666de29382
3fd1894f-055f-48b2-a55e-0f935e4df328
e5b22874-0109-41c2-a68e-e941650a80e7",,sociologie et études culturelles,,,
http://data.europa.eu/esco/isced-f/0319,key_18839,"67b566ef-ce1e-4e62-84b3-487173f0858a
19390194-d748-4e0f-9ffb-55ecb5b4c0e9
680f21c3-b04f-4d07-87c2-28189bd699eb",,sciences sociales et du comportement non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/032,key_18840,"6a0922b2-92dd-498c-9710-8327cb7a722f
0c26563d-7bfe-471b-ad2a-9b2559c025a9
10ce238b-494e-4b8e-93cf-6432ce2dd982",,journalisme et information,,,
http://data.europa.eu/esco/isced-f/0320,key_18841,"9f29e488-317a-4f60-b8b9-fa495e883d4d
df6fdcf8-8968-4e79-b886-bf106db48a0d
d7b228bb-a266-4776-a07e-f16a16a87018",,journalisme et information non définis,,,
http://data.europa.eu/esco/isced-f/0321,key_18842,"5407f277-71cb-4937-8179-26835b72d202
2983f78f-e38a-4218-97c2-ac950b7b4295
36152a95-1545-46c6-909c-02d1041c889d",,journalism and reporting,,,
http://data.europa.eu/esco/isced-f/0322,key_18843,"18fe690e-4b78-4477-ae9e-6e42b193eaa2
ad486b82-38ac-4ab0-8f39-e1a4711c5a13
a1c3823e-39a8-4f4e-b1e2-0d7e5a1b142e",,"library, information and archival studies",,,
http://data.europa.eu/esco/isced-f/0329,key_18844,"515bf85c-3b4f-4667-8796-96311bc00cc9
20035e2d-3a1d-47fd-842a-c6ff87f4f77f
83280d27-afa1-47a5-84f0-13e0eefeeeba",,journalisme et information non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/038,key_18845,"8d23d523-9254-481b-8f79-b5fa6c333d07
547060c7-b065-48b1-a876-17da399112c8
851f0e93-3e3a-4027-b919-23112d331a5c",,"programmes interdisciplinaires et certifications impliquant les sciences sociales, le journalisme et l'information",,,
http://data.europa.eu/esco/isced-f/0388,key_18846,"106ad2d7-2cb4-4537-84f6-e758ef04b648
26834b53-034e-4fea-805b-28228f9b1ae8
a02a5c4d-d298-4d85-b07b-65029a51a6c7",,"programmes interdisciplinaires et certifications impliquant les sciences sociales, le journalisme et l'information",,,
http://data.europa.eu/esco/isced-f/039,key_18847,"a82f4c64-1cbf-44d3-a731-1afd8132e7c7
60441357-b3e2-4183-9269-dd6cdb043038
085dc8f2-a1f2-41fd-88a8-c462c5963908",,"sciences sociales, journalisme et information non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/0399,key_18848,"491375a3-29b4-458f-b612-9726b502e3dd
1d71c226-fc69-44b5-971a-589ec48172fe
02ded941-dbaa-4abd-9b8a-7b987ba76be1",,"sciences sociales, journalisme et information non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/04,key_18849,"205f4cc8-fe34-4eea-997b-f7ad7b26c122
aa55cceb-fbcc-4a64-b477-c6b64c664d3a
2f56a52d-4a96-4309-960c-ebc11112b9d2",,"commerce, administration et droit",,,
http://data.europa.eu/esco/isced-f/040,key_18850,"30479f01-71f1-499f-9f63-e33a909d6f7e
0072e5cd-c2a6-4d0e-a6ed-0758b9ee0701
8af158a9-8929-4bab-bdb3-645e169d1639",,"commerce, administration et droit non définis",,,
http://data.europa.eu/esco/isced-f/0400,key_18851,"109f1bd1-e269-4190-aa4e-ea1404f959fa
21a130e7-d8c4-435f-963e-4a07a6132f4f
9e875074-d12d-4b08-a6e6-25d666cf1dcf",,"commerce, administration et droit non définis",,,
http://data.europa.eu/esco/isced-f/041,key_18852,"9e3ba039-59b9-4409-846b-5b34a09ea1b4
670eb09f-31c7-4c25-902d-f99c81e19c42
ec9635f7-20d4-45ea-9a25-40280d0b0eee",,commerce et administration,,,
http://data.europa.eu/esco/isced-f/0410,key_18853,"f4269d57-1e87-4cf2-841d-52889ef2901c
7473464e-342d-423b-bc5e-6bc8ba0720e6
147b438f-b58e-456f-96ff-0d4e288ddee9",,commerce et administration non définis,,,
http://data.europa.eu/esco/isced-f/0411,key_18854,"0af7da07-b7cb-4dd5-a0d2-08d76852e8c7
08c21cb5-0757-41fb-91a0-d2c5c546de5c
8c239279-ee63-4f81-a5ca-3866686401c6",,comptabilité et fiscalité,,,
http://data.europa.eu/esco/isced-f/0412,key_18855,"6bdfab52-62ca-4715-9000-26a8d0e6309e
fbdc20bb-cc91-4f65-83ef-acc703578a90
d20f29c3-e6df-431f-96b8-d96a6c28f813",,"finance, banque et assurances",,,
http://data.europa.eu/esco/isced-f/0413,key_18856,"e63f2f58-b641-4908-b8ae-3334e731de30
bf20b088-8576-4ad3-a091-e9a15cee9662
ebbe7ea0-7557-4d30-b63f-29a60a4c9c18",,gestion et administration,,,
http://data.europa.eu/esco/isced-f/0414,key_18857,"ddb9cf8f-46b1-4284-aaf4-2adc5dba2df6
e8b8f120-e700-4e97-a216-5a554d5c3c59
a413cdf9-ded4-4384-b5ba-2c493010dc8d",,marketing et publicité,,,
http://data.europa.eu/esco/isced-f/0415,key_18858,"e8fe7ec0-b9ca-4356-af17-1fb65cf594db
260622de-f0aa-4535-ac32-f7f3a17fda10
2e0980f4-9511-46d3-b680-3254a6588c5d",,travail de secrétariat et de bureau,,,
http://data.europa.eu/esco/isced-f/0416,key_18859,"762abb58-746e-4b21-94ae-2fce1a6592f1
af198ef0-e5bb-4d2c-989e-23468ba66491
b88cbf22-5353-48e0-b351-28d7e06ad236",,vente en gros et au détail,,,
http://data.europa.eu/esco/isced-f/0417,key_18860,"7e46cf99-a843-45f5-9185-9c4027800740
abdaa865-7158-46ca-a215-6127fc585b76
77b88839-65af-4937-811f-3e20e4844243",,compétences professionnelles,,,
http://data.europa.eu/esco/isced-f/0419,key_18861,"5da9de2d-d3e9-4d1b-8369-5b53466a2cd3
6635d91d-377e-43ae-96cb-4726bcb1e856
e9c485c3-c610-44ba-8a25-9dc0b8af4f07",,commerce et administration non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/042,key_18862,"26feacf5-c467-4ac6-b8c7-670507a8c9b2
aa77f9af-4dbf-4b5c-bade-034249ce9db0
3f5c92f8-a82c-48b7-a3c4-e980bb6b956b",,droit,,,
http://data.europa.eu/esco/isced-f/0421,key_18863,"876ab369-5a8e-4af6-a120-92bc164d2d14
0b1dc078-5b36-4b93-8581-c051d19ce140
1705b630-a09c-4b47-b272-a4f6e7d4430d",,droit,,,
http://data.europa.eu/esco/isced-f/048,key_18864,"a868ea04-d5a2-48ba-9994-5db7cde5fdb3
bb277619-5bd8-421e-8291-8765e300982f
c29c1810-1d9e-4963-a46d-9a1c33c1e43a",,"programmes interdisciplinaires et certifications impliquant le commerce, l'administration et le droit",,,
http://data.europa.eu/esco/isced-f/0488,key_18865,"e7b408ba-52e6-4a2c-bd0a-e48414f2bab7
25b579aa-e3b5-45db-8380-a543a4e705a1
baab1943-5faa-48c2-9f24-47db91a5e6e8",,"programmes interdisciplinaires et certifications impliquant le commerce, l'administration et le droit",,,
http://data.europa.eu/esco/isced-f/049,key_18866,"af9b18e8-3543-4cc5-82da-fab929b6e6a1
4216cf0d-d6be-4f62-81ad-5a17458f05f5
42dbe2ab-12aa-433e-bee3-b5189448739a",,"commerce, administration et droit non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/0499,key_18867,"60e910af-ace6-4117-a843-64b07d18cf15
a68d9cd3-de31-468e-8923-2dfee9c406bb
aa88d243-5306-470c-beeb-5a77668cec37",,"commerce, administration et droit non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/05,key_18868,"95746dca-0901-4f7e-a763-359b2682cef6
9fcd58e9-050d-4270-934a-13a9f2403c41
e9148a88-2a0a-457e-8c1e-5906bc9b7b31",,"sciences naturelles, mathématiques et statistiques",,,
http://data.europa.eu/esco/isced-f/050,key_18869,"0a355fdb-bb96-4dd5-b3cb-d80961ca6a99
d85354c3-61dc-435b-96d7-9b01fd69a111
ed1022ab-86fa-478c-a536-0b65e949dc4e",,"sciences naturelles, mathématiques et statistiques non définis",,,
http://data.europa.eu/esco/isced-f/0500,key_18870,"adbf6ec5-ac1e-479e-9fb3-e9defc2e1fa7
4382b8e7-b955-4092-b77f-204dd4b32a91
22e5c6b0-5db2-4713-9cc1-b202e4ef0534",,"sciences naturelles, mathématiques et statistiques non définis",,,
http://data.europa.eu/esco/isced-f/051,key_18871,"6e8b1b47-21e5-4ae2-a767-340e93a4de3b
c624c868-5668-4c7e-8c5e-49fb1d8d5f68
cf9b79f7-dc0a-40b5-a729-80342d39aa4c",,sciences biologiques et apparentées,,,
http://data.europa.eu/esco/isced-f/0510,key_18872,"1f3c4254-fad8-438d-9c47-f57206452422
5c015581-a060-4ce9-8a38-8447a419f7ec
654bb4f1-35c2-4b0a-841c-a645f4d90123",,sciences biologiques et apparentées non définis,,,
http://data.europa.eu/esco/isced-f/0511,key_18873,"2d3383a0-03bf-4546-b985-60dacf82fc77
233e7607-6437-4560-af15-682e2f25ae20
6de539bb-6a4d-439e-8912-33d3d727347e",,biologie,,,
http://data.europa.eu/esco/isced-f/0512,key_18874,"39347946-5643-4151-b954-3f4e34871f83
6f1a4220-7832-4b6e-a51f-d098798260c2
a1986e83-5f6a-456f-844b-d25614a6887b",,biochimie,,,
http://data.europa.eu/esco/isced-f/0519,key_18875,"04f630fe-2b81-4069-af21-786a9ef829b4
7174d8a9-0621-4cfd-921a-b6493915d831
fb1bca73-df41-40bc-a908-96b7866aa14c",,sciences biologiques et apparentées non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/052,key_18876,"eb7da114-738f-4830-9397-d6d628e322e0
19a936ce-4ac3-4e02-9890-e58d7fa1ddaf
e75251bb-6781-4a13-a730-756654e23cff",,environnement,,,
http://data.europa.eu/esco/isced-f/0520,key_18877,"28252685-dffa-4767-82c1-6c30202da902
e89667b9-d670-49f4-b06e-65e74c1ef6a0
1a8db538-96f1-4e52-921f-dda6448c76e5",,environnement non défini,,,
http://data.europa.eu/esco/isced-f/0521,key_18878,"77716553-98e1-4da7-af49-d0c1b23cba2a
6d41eca8-3187-4984-8a04-6d18658c9da0
a6545f8b-f044-47a2-817d-a570fda742c3",,sciences environnementales,,,
http://data.europa.eu/esco/isced-f/0522,key_18879,"2cb8b642-6742-4892-91f9-3c9466fa7e0e
d81ae75f-cd20-424c-885d-259c1a6637d6
2426cae1-65a5-4fce-b136-551d18dff4c2",,environnements naturels et faune et flore,,,
http://data.europa.eu/esco/isced-f/0529,key_18880,"fec1db00-c6ec-45f9-a069-843de446c836
ba4794eb-a76d-4355-8a2c-7aedb608149b
ff6a5bf6-9484-4609-9142-8f78d8c556f2",,environnement non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/053,key_18881,"115bd01d-f02f-43b6-a41a-92a46156db05
d321e03b-5855-4faa-81df-997b57814944
ba496c47-bbc8-4f72-a586-3d7e3560b249",,sciences physiques,,,
http://data.europa.eu/esco/isced-f/0530,key_18882,"1e88aeb9-9cb4-4a73-ac1f-d93b278598da
ddcd0576-5459-4862-8d9a-b0ba8be5c786
50bfa3c6-9470-4184-929a-88f2c3e377db",,sciences physiques non définies,,,
http://data.europa.eu/esco/isced-f/0531,key_18883,"b823f440-0a7f-455f-b3c0-28b48c733858
35d9a243-47b4-4d0e-9d90-38cf9c124f3a
298bbf90-fd56-4b28-9ed5-682440d37a66",,chimie,,,
http://data.europa.eu/esco/isced-f/0532,key_18884,"6f30b4c6-8775-4dcd-8a60-e28f64d980d3
e18cb503-0268-4294-87ab-cc125f37af15
276fea52-c3b1-4739-8721-44746dbe03c7",,sciences de la terre,,,
http://data.europa.eu/esco/isced-f/0533,key_18885,"6bd2bf6b-cba6-4ab4-8b45-d9b5e517e421
336485e3-93d4-4272-963f-7480e4adadad
6cebc619-2226-4a33-ae38-7a84289bc8c0",,physique,,,
http://data.europa.eu/esco/isced-f/0539,key_18886,"2c580841-0565-4e9c-a72f-090337f11970
db06bfdf-e435-448a-b67d-8bd73ab1fc2f
2ea1b6da-69fe-408a-8d99-a7ad8505988d",,sciences physiques non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/054,key_18887,"1df50430-dea1-4b83-bb79-278ebdcddc43
6d045de8-1074-4fdd-bc7e-e2f7785c0829
6ac92447-b735-4cf2-b089-1904c2bdfad4",,mathématiques et statistiques,,,
