conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a33cec3-4b44-471a-8864-5cc8567a8b1f,logiciel de CAO-DAO,released,knowledge,cross-sector,,La conception et le dessin assistés par ordinateur (CAO-DAO) consistent en l’utilisation de technologies informatiques pour la documentation de conception et de dessin. Le logiciel de conception assistée par ordinateur remplace la rédaction manuelle par un processus automatisé.,http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,développement et analyse de logiciels et d’applications | logiciel de conception assistée par ordinateur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3af687cb-8c7a-46ea-a730-32dbaed040c6,Oracle Data Integrator,released,knowledge,sector-specific,,"Le programme d’ordinateur Oracle Data Integrator est un outil d’intégration des informations issues de multiples applications créées et entretenues par des organisations, en une seule structure de données cohérente et transparente, développée par l’éditeur de logiciels Oracle.",http://data.europa.eu/esco/skill/9d0d89be-bffa-4393-b6f6-8d05bea49051 | http://data.europa.eu/esco/isced-f/0612,outils d’extraction de transformation et de chargement | conception et administration de bases de données et de réseau
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba,concevoir un logiciel,released,skill/competence,sector-specific,créer le design d’un logiciel | concevoir le logiciel | concevoir des logiciels | développer un logiciel | imaginer un logiciel | créer le modèle d’un logiciel,Transposer une série d’exigences en un logiciel clair et organisé.,http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,concevoir des systèmes ou applications tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3be6b84a-fa78-42b9-a8df-150cdb40b9d7,politique de qualité des TIC,released,knowledge,sector-specific,,"La politique de qualité de l’organisation et ses objectifs, le niveau acceptable de qualité et les techniques permettant de la mesurer, ses aspects juridiques et les devoirs de certains services spécifiques pour assurer la qualité.",http://data.europa.eu/esco/isced-f/0413,gestion et administration
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3be79ccc-a455-49b9-8c65-55c50071ba5b,principes de la technologie des registres distribués,released,knowledge,sector-specific,,"Les théories, principes appliqués, architectures et systèmes des registres distribués, tels que la décentralisation, les mécanismes de consensus, les contrats intelligents, la confiance, etc.
   ",http://data.europa.eu/esco/isced-f/0619,technologies de l’information et de la communication (tic) non classés ailleurs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c134a08-521f-489d-9ff0-d84fcdc963eb,créer des modules SCORM,released,skill/competence,sector-specific,,Mettre au point des modules éducatifs pour les plateformes d’apprentissage en ligne utilisant la norme Sharable Content Object Reference Model (partage de contenu par l’utilisation d’un modèle de données défini - SCORM).,http://data.europa.eu/esco/skill/7e0b93e0-0de7-4607-b07f-27a6828d3ff0,élaborer des programmes éducatifs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c1af34b-4562-4c39-a30e-0812b84a147e,utiliser un logiciel de conception spécialisé,released,skill/competence,cross-sector,,Développer de nouveaux modèles maîtrisant des logiciels spécialisés.,http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,utiliser des outils de conception et de dessin assistés par ordinateur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c4c3fa1-d638-42df-8e98-2a38021da6f9,utiliser un logiciel de conservation des données,released,skill/competence,cross-sector,employer un logiciel de conservation des données | utiliser un logiciel de récupération des données | faire usage d’un logiciel de conservation des données | utiliser un logiciel de sauvegarde des données | utiliser un logiciel de protection des données,Utiliser des applications et des logiciels spécialisés pour collecter et conserver des informations numériques.,http://data.europa.eu/esco/skill/c95c29fe-3971-46b7-80e9-1f7e75ba99b3 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/611ed16b-99bf-4840-9cab-f55d1d286e0a | http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,"utiliser un logiciel d’analyse de données spécifique | gérer, collecter et stocker des données numériques | stocker des données et des systèmes numériques | gérer une identité numérique"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c6fe585-7d12-4315-b579-e30c042088ce,utiliser des systèmes d’ingénierie assistés par ordinateur,released,skill/competence,cross-sector,,Utiliser un logiciel d’ingénierie assisté par ordinateur pour réaliser des analyses de résistance sur des modèles d’ingénierie.,http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,utiliser des outils de conception et de dessin assistés par ordinateur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c748b49-fe85-42f6-b62d-b877bc8edb29,observer des corps célestes,released,skill/competence,sector-specific,,"Étudier les positions et mouvements relatifs des étoiles et des planètes, en utilisant et en interprétant les données fournies par des logiciels spécialisés et des publications telles que l’éphéméride.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analyser des données scientifiques et médicales
