conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b873879-6d5e-46b6-80e2-1ef313b4e0ac,skill/competence,transversal,écrire en japonais,released,,Rédiger des textes en japonais.,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,japonais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,knowledge,transversal,roumain,released,,La langue roumaine. Le roumain est une langue officielle et de travail de l’UE.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Langues | maîtriser des langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c5a2793-c18d-40b9-832d-af8e07f0f171,skill/competence,transversal,écrire en islandais,released,,Rédiger des textes en islandais.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,islandais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c6fe11c-f912-4c81-b74c-2e72943abeb6,skill/competence,transversal,comprendre le lituanien écrit,released,,Lire et comprendre des textes rédigés en lituanien.,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,lituanien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c92020a-110b-4daf-b1ec-c4e17c3b9b2c,skill/competence,transversal,comprendre le chinois parlé,released,,Comprendre le chinois oral.,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,chinois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ddf697a-b1e9-4ae6-931e-920de761f9df,skill/competence,transversal,interagir verbalement en wallon,released,s'exprimer oralement en wallon,Communiquer oralement en wallon.,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,wallon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4dfda994-f9a2-4cbd-b224-0ab036e69d6e,skill/competence,transversal,interagir verbalement en roumain,released,s'exprimer oralement en roumain,Communiquer oralement en roumain.,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,roumain
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ff6df71-6988-4300-8966-9fabb2b59186,skill/competence,transversal,comprendre le français écrit,released,,Lire et comprendre les textes rédigés en français.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,Français
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50d8a1ff-659a-4671-be48-369242b2a3be,skill/competence,transversal,écrire en bihari,released,,Rédiger des textes en bihari.,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,bihari
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/520b5278-eb9a-4c7d-a80d-a129ffb103da,skill/competence,transversal,interagir verbalement en hongrois,released,s'exprimer oralement en hongrois,Communiquer oralement en hongrois.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,hongrois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52894650-9077-40f0-96d6-6f07d1a6cafa,skill/competence,transversal,écrire en allemand,released,,Rédiger des textes en allemand.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,allemand
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/529d9a4f-5b96-4952-b9e6-114213366565,skill/competence,transversal,comprendre le géorgien parlé,released,,Comprendre le géorgien exprimé oralement.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,géorgien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/562c4f04-4f58-4c28-bcc4-49307786067b,skill/competence,transversal,interagir verbalement en danois,released,s'exprimer oralement en danois,Communiquer oralement en danois.,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,danois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,knowledge,transversal,occitan,released,langue d’oc,La langue occitane.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
