ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,key_19462,"b5542f92-def7-4dd4-92fa-49e21aefb3d0
6d51c7b2-bed1-4b26-bdac-68835f6083cc",skill/competence,sector-specific,maintenir des stocks de fournitures de nettoyage,,"Suivre le stock de matériaux de nettoyage, commander de nouveaux matériaux lorsque le stock est vide et suivre leur utilisation pour maintenir un approvisionnement constant.
   ",,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,key_19463,"7147ba2f-f4ce-4d52-9868-ef20fc273485
a8285b19-9bdb-4700-964c-94743fec9a41",knowledge,occupation-specific,vulcanisation à froid,,"Technique utilisée pour réparer les pneus défectueux, en particulier les pneus pour bicyclettes, et consistant à poncer la zone autour de la déchirure, à appliquer une solution de vulcanisation, puis une rustine pour sceller la déchirure.",,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,key_19464,"8253ef9b-ac2b-4afd-9c53-1806bcf73d50
7f5f603c-e69c-4806-bdea-34634393222c",skill/competence,sector-specific,superviser les services ménagers,"superviser des services de ménage
superviser les opérations de ménage
superviser les activités de ménage","Superviser l’entretien quotidien, et le nettoyage des chambres et des aires publiques, afin d’assurer un fonctionnement continu.",,
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,key_19465,"21249d2b-e64d-4bff-9216-5eaa7a2f6db7
7b0922f5-3414-443c-b264-120a364a6faf",skill/competence,cross-sector,agir en tant que personne à contacter lors d’un incident relatif à des équipements,,Agir en tant que personne à contacter en cas d’incident relatif à un équipement. Participer à l’enquête en fournissant des indications.,,
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,key_19466,"de3032f4-72aa-4d2b-862c-44b42a3e46d9
2f09913f-3397-427e-888b-68f322bbebc9",skill/competence,sector-specific,gestion du calendrier lors d’un aménagement paysager,,"Planifier et mettre en œuvre les programmes de travail pour s’adapter aux activités d’aménagement paysager, qui comprennent la phase d’information au cours de laquelle le projet d’aménagement paysager est discuté avec un client, après quoi une série de croquis, de plans et de dessins sont présentés.",,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,key_19467,"076d3abf-474f-481a-bac4-a345fcce453a
601aa425-7aa7-4d4c-bbd4-70453ccc8d26",skill/competence,sector-specific,donner des conseils sur la réglementation douanière,,"Fournir des informations concernant les restrictions à l’importation et à l’exportation, les systèmes tarifaires et d’autres questions douanières.
	",,
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,key_19468,"6b11160d-2a22-44de-ab03-7e36707eef90
f146a4f8-d23c-45fc-b7c5-84487050341f",skill/competence,occupation-specific,gérer un département universitaire,,"Superviser et évaluer les pratiques de soutien universitaire, le bien-être des étudiants et les performances des enseignants.",,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,key_19469,"bfe0b786-bc1c-40d1-a84b-5642295d85d8
a6338fc9-ff49-42db-9955-d0f0145140bc",skill/competence,sector-specific,créer des bases de données terminologiques,,"Recueillir et proposer des termes après avoir vérifié leur pertinence, afin de constituer des bases de données terminologiques concernant divers domaines.",,
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,key_19470,"34805462-8266-4f05-8727-af5df04bf415
9c87320a-d9bd-40cd-a969-cc27d82bfb6f",skill/competence,sector-specific,évaluer les caractéristiques nutritionnelles de denrées alimentaires,,"Évaluer la valeur nutritionnelle des denrées alimentaires, y compris la proportion de graisses, de glucides, de sucres et de vitamines afin de contribuer à une alimentation plus saine.
   ",,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,key_19471,"e4eb4cab-374a-439c-8aba-3123ead9221b
43d3adc0-888c-434f-9072-8a23aabe7cb9",skill/competence,occupation-specific,réparer une bicyclette électrique,réparer un vélo électrique,"Inspecter le fonctionnement des composants électriques, du câblage et des fusibles. Vérifier l’absence de dommages et de dysfonctionnements, et en déterminer la cause. Démonter et réparer les composants de la bicyclette, tels que les moteurs électriques transportables, les systèmes de commutation, les systèmes d’alimentation électrique et les systèmes d’éclairage. Régler les dispositifs de commutation mécaniques et électroniques, les entraînements, les systèmes de freinage et les composants du châssis. Vérifier les liquides de fonctionnement de la bicyclette et vérifier s’ils doivent être rechargés ou changés.",,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,key_19472,"909a4032-4591-4995-b2ab-f923bcce2ce3
e890de95-3a38-4205-b910-5c24b868f168",skill/competence,sector-specific,entretenir des équipements de tri sélectif,,Effectuer l’entretien courant ainsi que des réparations mineures sur l’équipement utilisé pour le tri des déchets et des matières recyclables.,,
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,key_19473,"2ef58091-741a-4f50-b9e5-8c8182cb678e
3965bdd0-bd43-41b1-bfbf-8c91eeb06a52",skill/competence,sector-specific,expliquer les caractéristiques des chambres aux clients,"expliquer les services des chambres aux clients
présenter les caractéristiques des chambres aux clients",Clarifier les installations d’hébergement des clients et leur montrer comment s’en servir.,,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,key_19474,"cace01c0-ea7d-4389-aec5-5e74e583cfcc
d9b78da8-a14a-49c2-a595-689292f965a2",knowledge,sector-specific,types d’orge,,Les différents types d’orge; leurs caractéristiques et leur qualité.,,
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,key_19475,"7aca4d03-884a-444c-bca5-31b17be0e314
546b3a2b-1356-4802-9f87-ca40b4a16541",knowledge,sector-specific,KDevelop,,"Le programme informatique KDevelop est une suite d’outils de développement de logiciels destinés à l’écriture de programmes (tels qu’un compilateur, un programme de débogage, un éditeur de code et un surligneur), intégrés dans une interface utilisateur unifiée. Il est développé par la communauté logicielle KDE.",,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,key_19476,"c658d60c-837c-41c1-9958-9df835fd5c20
3ee4840f-f177-4634-b981-a1fa10e098c7",skill/competence,sector-specific,acheter des pièces de véhicules,,"Commander les pièces spécifiques requises pour l’entretien et la réparation d’une grande variété de véhicules.
	",,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,key_19477,"f85d52d1-7b47-4a17-b61f-d80c58d89eb9
a25099f5-5b8f-4d21-82eb-2728556ec01e",skill/competence,cross-sector,inspecter des installations offshore,,"Effectuer des inspections régulières pendant et après la construction d’installations offshore, telles que les plateformes pétrolières, afin de garantir la minimisation des risques et le respect des réglementations.",,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,key_19478,"2d269d86-e024-4b6d-8349-f83ab6e0ccaa
74e23234-ebc3-4fc2-b6d2-114760b660fa",skill/competence,sector-specific,transporter un patient vers un établissement médical,,Aider à soulever et à transporter le patient dans le véhicule d’urgence pour le transport et dans l’établissement médical d’accueil à son arrivée.,,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,key_19479,"7158eadf-0245-4461-ad59-78ec757567a7
e48f21ef-3428-482a-916d-a797cc983ee3",skill/competence,occupation-specific,ajuster les paramètres de découpe d’enveloppes,,"S’assurer d’utiliser le bon étalon de découpe et de colmatage des fenêtres. Préparer en appliquant de la colle sur l’ébauche avec un pochoir sec et sur le matériau de la fenêtre pendant son transport. Ajuster en fonction de la position de la fenêtre, de la colle, de la position du pochoir et du niveau de régularité.",,
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,key_19480,"e045f18e-3b8f-4609-ab5a-f73c8e6f1664
c825145d-ca39-4d29-ba0d-07080c8b090b",skill/competence,sector-specific,préparer des huiles,,"Sélectionner les huiles appropriées pour le client, les mélanger afin de créer des composés individualisés avec des besoins et des ratios spécifiques pour les clients, en tenant un registre des traitements appliqués et des mélanges utilisés pendant la thérapie.",,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,key_19481,"ccd9594d-8270-4f0d-8fe9-af6d7d7c6073
5185349e-8616-4cf9-9d61-008491dc19de",skill/competence,sector-specific,acheter des fournitures,,Acheter et réapprovisionner les fournitures ; s’assurer que toutes les marchandises requises sont disponibles en stock.,,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,key_19482,"b340cc83-2691-452a-8ab8-66085d44b478
b9f2533f-09b3-41a2-aba8-4897904a5b7c",skill/competence,sector-specific,viser l’excellence dans la création de produits alimentaires,,Essayer de créer des produits alimentaires sous leur forme la plus qualitative possible.,,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,key_19483,"7f0d95ca-3893-4ee3-8e07-09cdc0915753
9b0ac46a-29a7-4582-8bef-cd94d495579f",skill/competence,sector-specific,appliquer des normes d’hygiène personnelle lors d’opérations de nettoyage,,"Appliquer les normes d’hygiène et d'ordre personnelles, porter un équipement de protection lors des activités de nettoyage, dans le respect des procédures de santé et de sécurité inhérentes à la tâche réalisée ou fixées par l’organisation.",,
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,key_19484,"b970f347-c944-48f6-ab48-657de35cb4eb
1b9d2df0-6abc-4a63-9386-a9ccc00cbbb4",skill/competence,cross-sector,communiquer avec des dactylos,communiquer avec des dactylographes,"Donner des instructions aux dactylographes concernant  les destinataires, le format approprié, le nombre d’exemplaires requis, etc., afin de leur permettre de saisir les documents finaux.",,
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,key_19485,"1f097f20-9968-4f99-8a83-2f6d08101ebb
f458e766-763a-43c8-b529-3d01104ab3bf",skill/competence,sector-specific,évaluer des opérations ferroviaires,,"Examiner et étudier le matériel, les installations, les systèmes et les processus ferroviaires existants afin d’améliorer la sécurité et l’efficacité ferroviaires, d’accroître la qualité et de réduire les coûts.",,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,key_19486,"82062a78-1d6c-47f4-a43f-d7490298aec0
f315f08f-9727-4d43-a2d8-65643f377c54",skill/competence,occupation-specific,pratiquer des sports extrêmes,,"Pratiquer des activités de sport considérées comme présentant un niveau élevé de danger inhérent et impliquant la vitesse, la hauteur, un niveau élevé d’effort physique et un équipement hautement spécialisé.",,
