conceptType,conceptUri,code,preferredLabel,status,altLabels,inScheme,description
ISCOGroup,http://data.europa.eu/esco/isco/C2163,2163,Concepteurs modélistes de produits et de vêtements,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2164,2164,Urbanistes et ingénieurs de la circulation routière,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2165,2165,Cartographes et géomètres,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2166,2166,"Concepteurs graphiques, multimédia – graphistes",released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C22,22,Spécialistes de la santé,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C221,221,Médecins,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2211,2211,Médecins généralistes,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2212,2212,Médecins spécialistes,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C222,222,Cadres infirmiers et sages-femmes,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2221,2221,Cadres infirmiers,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2222,2222,Sages-femmes,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C223,223,Spécialistes des médecines traditionnelles et des médecines complémentaires,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
